date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team,xg,xga
2023-07-22,15:15,Premier League,Matchweek 1,Sat,Away,W,2,0,Nizhny Novgorod,76,12036,Douglas Santos,4-3-3,5-3-2,Sergey Ivanov,Match Report,,11,2,,0,0,2023,Zenit,,
2023-07-29,20:00,Premier League,Matchweek 2,Sat,Away,D,1,1,Rostov,48,16413,Douglas Santos,4-3-3,4-3-3,Evgeny Kukulyak,Match Report,,6,1,,0,0,2023,Zenit,,
2023-08-06,19:00,Premier League,Matchweek 3,Sun,Home,L,2,3,Dynamo Mosc,68,24672,Douglas Santos,4-3-3,4-2-3-1,Aleksey Amelin,Match Report,,15,5,,0,0,2023,Zenit,,
2023-08-13,17:30,Premier League,Matchweek 4,Sun,Home,W,2,0,Fakel Voronezh,72,19558,Douglas Santos,5-3-2,5-3-2,Pavel Shadykhanov,Match Report,,10,6,,0,0,2023,Zenit,,
2023-08-20,19:30,Premier League,Matchweek 5,Sun,Away,W,3,1,Spartak Moscow,48,33852,Douglas Santos,4-3-3,4-3-3,Sergey Karasev,Match Report,,12,3,,0,0,2023,Zenit,,
2023-08-26,15:00,Premier League,Matchweek 6,Sat,Home,W,4,0,Ural,67,25723,Douglas Santos,5-3-2,4-2-3-1,Artem Chistyakov,Match Report,,15,7,,0,0,2023,Zenit,,
2023-09-03,17:30,Premier League,Matchweek 7,Sun,Away,D,1,1,CSKA Moscow,71,20947,Douglas Santos,5-3-2,3-4-3,Pavel Kukuyan,Match Report,,14,4,,0,0,2023,Zenit,,
2023-09-17,16:30,Premier League,Matchweek 8,Sun,Away,W,3,0,Rubin Kazan,61,10429,Douglas Santos,4-3-3,5-3-2,Rafael Shafeev,Match Report,,5,4,,0,0,2023,Zenit,,
2023-09-24,16:30,Premier League,Matchweek 9,Sun,Home,L,1,2,Loko Moscow,58,36283,Douglas Santos,5-3-2,4-2-3-1,Vladimir Moskalev,Match Report,,15,2,,0,0,2023,Zenit,,
2023-09-30,14:00 (12:00),Premier League,Matchweek 10,Sat,Away,L,1,3,Orenburg,68,5482,Douglas Santos,5-3-2,4-3-3,Sergey Ivanov,Match Report,,32,14,,0,0,2023,Zenit,,
2023-10-07,15:00 (14:00),Premier League,Matchweek 11,Sat,Away,W,2,0,Sochi,61,5617,Douglas Santos,4-2-3-1,3-4-3,Vladislav Bezborodov,Match Report,,8,3,,1,1,2023,Zenit,,
2023-10-22,16:30,Premier League,Matchweek 12,Sun,Home,W,3,1,Samara,59,24402,Douglas Santos,4-2-3-1,4-2-3-1,Artem Chistyakov,Match Report,,19,6,,0,0,2023,Zenit,,
2023-10-28,19:00,Premier League,Matchweek 13,Sat,Home,W,2,1,Akhmat Grozny,65,17967,Douglas Santos,4-4-2,4-2-3-1,Sergey Karasev,Match Report,,13,3,,0,0,2023,Zenit,,
2023-11-04,18:00 (19:00),Premier League,Matchweek 14,Sat,Away,W,2,0,FC Baltika Kaliningrad,64,16929,Douglas Santos,4-4-2,5-3-2,Aleksey Sukhoy,Match Report,,10,4,,0,0,2023,Zenit,,
2023-11-11,19:30,Premier League,Matchweek 15,Sat,Home,D,1,1,Krasnodar,60,46701,Douglas Santos,4-4-2◆,4-1-4-1,Sergey Karasev,Match Report,,17,4,,0,0,2023,Zenit,,
2023-11-25,15:15,Premier League,Matchweek 16,Sat,Home,W,3,0,Sochi,64,21964,Douglas Santos,3-4-3,3-4-3,Kirill Levnikov,Match Report,,14,7,,0,1,2023,Zenit,,
2023-12-03,16:30,Premier League,Matchweek 17,Sun,Away,L,1,3,Loko Moscow,63,10060,Douglas Santos,5-3-2,4-2-3-1,Aleksey Sukhoy,Match Report,,9,3,,0,0,2023,Zenit,,
2023-12-09,19:45,Premier League,Matchweek 18,Sat,Home,W,1,0,Nizhny Novgorod,62,24951,Douglas Santos,4-3-3,5-3-2,Sergey Ivanov,Match Report,,12,8,,0,0,2023,Zenit,,
2024-03-02,19:30,Premier League,Matchweek 19,Sat,Home,D,0,0,Spartak Moscow,62,57858,Douglas Santos,4-3-3,4-4-2,Sergey Karasev,Match Report,,7,2,,0,0,2023,Zenit,,
2024-03-09,16:00 (14:00),Premier League,Matchweek 20,Sat,Away,W,4,1,Ural,66,11373,Douglas Santos,4-3-3,5-3-2,Pavel Kukuyan,Match Report,,13,5,,0,0,2023,Zenit,,
2024-03-30,15:00 (14:00),Premier League,Matchweek 22,Sat,Away,D,1,1,Samara,71,8904,Douglas Santos,4-3-3,4-4-2,Rafael Shafeev,Match Report,,15,5,,0,0,2023,Zenit,,
2024-04-07,16:30,Premier League,Matchweek 23,Sun,Home,W,1,0,FC Baltika Kaliningrad,65,21798,Mikhail Kerzhakov,4-3-3,3-4-3,Aleksey Sukhoy,Match Report,,17,8,,0,0,2023,Zenit,,
2024-04-13,17:00,Premier League,Matchweek 24,Sat,Away,W,2,1,Krasnodar,54,35250,Douglas Santos,4-2-3-1,4-3-3,Sergey Ivanov,Match Report,,10,4,,0,0,2023,Zenit,,
2024-04-21,16:15,Premier League,Matchweek 25,Sun,Home,W,1,0,Orenburg,62,17992,Mikhail Kerzhakov,4-2-3-1,4-3-3,Vladislav Bezborodov,Match Report,,10,3,,0,0,2023,Zenit,,
2024-04-24,20:30,Premier League,Matchweek 21,Wed,Home,L,0,2,Rubin Kazan,71,13037,Mikhail Kerzhakov,4-2-3-1,5-4-1,Artem Chistyakov,Match Report,,24,10,,0,0,2023,Zenit,,
2024-04-28,19:15,Premier League,Matchweek 26,Sun,Away,L,0,1,Dynamo Mosc,66,17071,Douglas Santos,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,8,1,,0,0,2023,Zenit,,
2024-05-06,18:00,Premier League,Matchweek 27,Mon,Away,D,1,1,Fakel Voronezh,60,12749,Douglas Santos,4-3-3,3-4-3,Aleksey Sukhoy,Match Report,,11,5,,0,0,2023,Zenit,,
2024-05-11,19:00,Premier League,Matchweek 28,Sat,Home,L,0,1,CSKA Moscow,68,33027,Douglas Santos,4-4-2,3-4-3,Sergey Ivanov,Match Report,,23,7,,0,0,2023,Zenit,,
2024-05-19,19:00,Premier League,Matchweek 29,Sun,Away,W,5,1,Akhmat Grozny,63,5843,Douglas Santos,4-4-2,5-3-2,Sergey Karasev,Match Report,,15,7,,0,0,2023,Zenit,,
2024-05-25,16:30,Premier League,Matchweek 30,Sat,Home,W,2,1,Rostov,51,36456,Wílmar Barrios,4-4-2,4-3-3,Vitaly Meshkov,Match Report,,19,7,,1,1,2023,Zenit,,
2023-07-21,19:00,Premier League,Matchweek 1,Fri,Away,W,3,1,Dynamo Mosc,51,9612,Matvei Safonov,4-1-4-1,4-2-3-1,Kirill Levnikov,Match Report,,11,6,,0,0,2023,Krasnodar,,
2023-07-30,20:00,Premier League,Matchweek 2,Sun,Home,W,2,0,Sochi,54,13290,Matvei Safonov,4-3-3,3-4-3,Vladimir Moskalev,Match Report,,15,5,,0,0,2023,Krasnodar,,
2023-08-04,20:00,Premier League,Matchweek 3,Fri,Home,W,1,0,Nizhny Novgorod,60,12217,Matvei Safonov,4-3-3,5-3-2,Artem Lyubimov,Match Report,,7,1,,1,1,2023,Krasnodar,,
2023-08-12,19:30 (17:30),Premier League,Matchweek 4,Sat,Away,W,2,0,Orenburg,41,3901,Matvei Safonov,4-3-3,4-3-3,Vasiliy Kazartsev,Match Report,,14,6,,1,1,2023,Krasnodar,,
2023-08-19,19:30,Premier League,Matchweek 5,Sat,Home,D,1,1,Loko Moscow,60,22492,Matvei Safonov,4-3-3,4-2-3-1,Evgeny Kukulyak,Match Report,,16,5,,0,1,2023,Krasnodar,,
2023-08-25,20:00,Premier League,Matchweek 6,Fri,Away,D,0,0,Fakel Voronezh,67,13471,Matvei Safonov,4-3-3,3-4-3,Aleksey Amelin,Match Report,,15,1,,0,1,2023,Krasnodar,,
2023-09-02,20:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Spartak Moscow,47,32766,Matvei Safonov,4-3-3,4-2-3-1,Aleksey Sukhoy,Match Report,,10,4,,1,1,2023,Krasnodar,,
2023-09-16,16:30,Premier League,Matchweek 8,Sat,Away,D,1,1,Akhmat Grozny,64,3768,Matvei Safonov,4-3-3,4-2-3-1,Vladimir Moskalev,Match Report,,11,3,,0,0,2023,Krasnodar,,
2023-09-24,19:00,Premier League,Matchweek 9,Sun,Home,W,2,0,Ural,62,16605,Matvei Safonov,4-3-3,4-2-3-1,Vitaly Meshkov,Match Report,,11,6,,0,0,2023,Krasnodar,,
2023-09-30,16:30,Premier League,Matchweek 10,Sat,Away,W,2,0,Rubin Kazan,52,5557,Matvei Safonov,4-3-3,3-4-3,Sergei Cheban,Match Report,,15,4,,0,0,2023,Krasnodar,,
2023-10-07,19:00,Premier League,Matchweek 11,Sat,Home,W,3,2,Rostov,49,27375,Matvei Safonov,4-1-4-1,4-3-3,Rafael Shafeev,Match Report,,10,6,,0,0,2023,Krasnodar,,
2023-10-21,18:00 (19:00),Premier League,Matchweek 12,Sat,Away,D,2,2,FC Baltika Kaliningrad,68,10270,Matvei Safonov,4-1-4-1,5-3-2,Evgeny Kukulyak,Match Report,,13,7,,1,1,2023,Krasnodar,,
2023-10-29,19:30,Premier League,Matchweek 13,Sun,Away,L,0,1,CSKA Moscow,61,10777,Matvei Safonov,4-3-3,3-4-3,Kirill Levnikov,Match Report,,16,7,,0,0,2023,Krasnodar,,
2023-11-05,14:00,Premier League,Matchweek 14,Sun,Home,W,2,1,Samara,51,31055,Matvei Safonov,4-1-4-1,4-2-3-1,Sergey Ivanov,Match Report,,14,7,,0,0,2023,Krasnodar,,
2023-11-11,19:30,Premier League,Matchweek 15,Sat,Away,D,1,1,Zenit,40,46701,Matvei Safonov,4-1-4-1,4-4-2,Sergey Karasev,Match Report,,15,5,,0,0,2023,Krasnodar,,
2023-11-26,16:00 (14:00),Premier League,Matchweek 16,Sun,Away,L,1,3,Ural,61,5155,Matvei Safonov,4-1-4-1,4-2-3-1,Sergey Ivanov,Match Report,,3,1,,0,0,2023,Krasnodar,,
2023-12-03,16:30,Premier League,Matchweek 17,Sun,Home,W,2,1,Orenburg,55,16889,Matvei Safonov,4-2-3-1,4-3-3,Artem Chistyakov,Match Report,,11,4,,1,1,2023,Krasnodar,,
2023-12-10,19:45,Premier League,Matchweek 18,Sun,Home,W,1,0,CSKA Moscow,51,32793,Matvei Safonov,5-3-2,3-4-3,Sergey Karasev,Match Report,,11,3,,0,0,2023,Krasnodar,,
2024-03-02,16:30,Premier League,Matchweek 19,Sat,Home,D,1,1,Rubin Kazan,57,27019,Matvei Safonov,4-3-3,5-4-1,Aleksey Sukhoy,Match Report,,16,6,,0,0,2023,Krasnodar,,
2024-03-08,18:30,Premier League,Matchweek 20,Fri,Away,L,1,2,Rostov,50,16668,Matvei Safonov,3-4-3,4-3-3,Vasiliy Kazartsev,Match Report,,13,2,,0,0,2023,Krasnodar,,
2024-03-31,19:30,Premier League,Matchweek 22,Sun,Away,D,1,1,Loko Moscow,47,9327,Matvei Safonov,5-3-2,4-2-3-1,Vladislav Bezborodov,Match Report,,19,5,,0,0,2023,Krasnodar,,
2024-04-06,16:30,Premier League,Matchweek 23,Sat,Away,W,4,3,Nizhny Novgorod,58,9104,Matvei Safonov,4-3-3,5-3-2,Evgeny Bulanov,Match Report,,10,5,,0,0,2023,Krasnodar,,
2024-04-13,17:00,Premier League,Matchweek 24,Sat,Home,L,1,2,Zenit,46,35250,Matvei Safonov,4-3-3,4-2-3-1,Sergey Ivanov,Match Report,,11,4,,0,0,2023,Krasnodar,,
2024-04-19,19:00,Premier League,Matchweek 25,Fri,Home,W,2,0,Fakel Voronezh,70,15852,Matvei Safonov,4-2-3-1,4-4-2,Kirill Levnikov,Match Report,,20,7,,0,0,2023,Krasnodar,,
2024-04-24,20:30,Premier League,Matchweek 21,Wed,Home,W,3,2,FC Baltika Kaliningrad,55,14683,Matvei Safonov,4-2-3-1,3-4-3,Pavel Kukuyan,Match Report,,20,9,,0,0,2023,Krasnodar,,
2024-04-29,14:00 (13:00),Premier League,Matchweek 26,Mon,Away,D,0,0,Samara,53,12217,Matvei Safonov,4-2-3-1,4-4-2,Sergey Karasev,Match Report,,12,3,,0,0,2023,Krasnodar,,
2024-05-04,19:30,Premier League,Matchweek 27,Sat,Home,L,0,1,Akhmat Grozny,73,22021,Matvei Safonov,4-2-3-1,5-3-2,Vitaly Meshkov,Match Report,,15,5,,0,0,2023,Krasnodar,,
2024-05-11,16:30,Premier League,Matchweek 28,Sat,Away,L,0,1,Spartak Moscow,56,21843,Matvei Safonov,4-2-3-1,3-4-1-2,Artem Chistyakov,Match Report,,16,3,,0,0,2023,Krasnodar,,
2024-05-18,20:00 (19:00),Premier League,Matchweek 29,Sat,Away,W,3,2,Sochi,58,8782,Matvei Safonov,4-2-3-1,4-3-3,Pavel Shadykhanov,Match Report,,20,5,,1,1,2023,Krasnodar,,
2024-05-25,16:30,Premier League,Matchweek 30,Sat,Home,W,1,0,Dynamo Mosc,62,34032,Matvei Safonov,4-2-3-1,4-1-4-1,Sergey Karasev,Match Report,,8,4,,0,0,2023,Krasnodar,,
2023-07-21,19:00,Premier League,Matchweek 1,Fri,Home,L,1,3,Krasnodar,49,9612,Fabián Balbuena,4-2-3-1,4-1-4-1,Kirill Levnikov,Match Report,,12,4,,0,0,2023,Dynamo Moscow,,
2023-07-29,16:00 (15:00),Premier League,Matchweek 2,Sat,Away,D,3,3,Samara,47,6189,Fabián Balbuena,4-2-3-1,4-4-2,Artem Lyubimov,Match Report,,8,5,,0,0,2023,Dynamo Moscow,,
2023-08-06,19:00,Premier League,Matchweek 3,Sun,Away,W,3,2,Zenit,32,24672,Fabián Balbuena,4-2-3-1,4-3-3,Aleksey Amelin,Match Report,,6,3,,0,0,2023,Dynamo Moscow,,
2023-08-13,15:00,Premier League,Matchweek 4,Sun,Home,W,2,0,FC Baltika Kaliningrad,52,7684,Fabián Balbuena,4-2-3-1,5-3-2,Vladimir Moskalev,Match Report,,15,7,,0,0,2023,Dynamo Moscow,,
2023-08-19,15:00,Premier League,Matchweek 5,Sat,Home,W,2,1,CSKA Moscow,53,18584,Fabián Balbuena,4-2-3-1,3-4-3,Pavel Kukuyan,Match Report,,18,5,,1,1,2023,Dynamo Moscow,,
2023-08-26,17:30,Premier League,Matchweek 6,Sat,Away,D,2,2,Rubin Kazan,43,6948,Fabián Balbuena,4-2-3-1,3-5-2,Sergey Karasev,Match Report,,13,4,,0,0,2023,Dynamo Moscow,,
2023-09-03,20:00,Premier League,Matchweek 7,Sun,Away,W,2,1,Rostov,50,11001,Daniil Fomin,4-2-3-1,4-3-3,Vasiliy Kazartsev,Match Report,,19,7,,0,0,2023,Dynamo Moscow,,
2023-09-15,19:00,Premier League,Matchweek 8,Fri,Home,D,1,1,Nizhny Novgorod,65,9287,Fyodor Smolov,4-2-3-1,5-3-2,Evgeny Kukulyak,Match Report,,14,3,,1,1,2023,Dynamo Moscow,,
2023-09-23,19:00,Premier League,Matchweek 9,Sat,Away,L,0,1,Spartak Moscow,45,19025,Fabián Balbuena,4-4-2,4-3-3,Pavel Kukuyan,Match Report,,21,7,,0,0,2023,Dynamo Moscow,,
2023-10-01,19:00,Premier League,Matchweek 10,Sun,Away,D,1,1,Akhmat Grozny,54,4695,Fabián Balbuena,4-2-3-1,4-3-3,Artem Chistyakov,Match Report,,17,5,,0,0,2023,Dynamo Moscow,,
2023-10-08,16:30,Premier League,Matchweek 11,Sun,Home,D,0,0,Fakel Voronezh,54,7920,Fabián Balbuena,4-2-3-1,4-4-2,Evgeny Bulanov,Match Report,,21,4,,0,0,2023,Dynamo Moscow,,
2023-10-21,16:30,Premier League,Matchweek 12,Sat,Away,D,0,0,Loko Moscow,48,9842,Fyodor Smolov,4-2-3-1,4-2-3-1,Sergey Ivanov,Match Report,,16,4,,0,0,2023,Dynamo Moscow,,
2023-10-29,16:30,Premier League,Matchweek 13,Sun,Home,W,2,1,Ural,50,7384,Fabián Balbuena,4-2-3-1,4-2-3-1,Sergei Cheban,Match Report,,16,6,,0,0,2023,Dynamo Moscow,,
2023-11-06,20:30 (19:30),Premier League,Matchweek 14,Mon,Away,D,3,3,Sochi,51,4200,Sergei Parshivlyuk,4-2-3-1,3-4-3,Vladislav Bezborodov,Match Report,,18,8,,0,0,2023,Dynamo Moscow,,
2023-11-12,16:30,Premier League,Matchweek 15,Sun,Home,W,2,0,Orenburg,52,7298,Fabián Balbuena,4-2-3-1,4-3-3,Pavel Shadykhanov,Match Report,,27,6,,0,0,2023,Dynamo Moscow,,
2023-11-25,17:30,Premier League,Matchweek 16,Sat,Away,W,3,2,CSKA Moscow,45,8423,Fabián Balbuena,4-2-3-1,3-4-3,Sergey Karasev,Match Report,,19,6,,0,0,2023,Dynamo Moscow,,
2023-12-04,19:30,Premier League,Matchweek 17,Mon,Home,W,1,0,Rubin Kazan,53,5138,Fabián Balbuena,4-3-3,3-4-3,Sergey Cyganok,Match Report,,14,6,,0,0,2023,Dynamo Moscow,,
2023-12-10,14:00,Premier League,Matchweek 18,Sun,Away,D,1,1,Fakel Voronezh,50,6254,Fabián Balbuena,4-3-3,4-4-2,Rafael Shafeev,Match Report,,16,6,,0,0,2023,Dynamo Moscow,,
2024-03-03,16:30,Premier League,Matchweek 19,Sun,Home,W,2,1,Loko Moscow,43,14170,Fabián Balbuena,4-3-3,4-2-3-1,Kirill Levnikov,Match Report,,14,6,,0,0,2023,Dynamo Moscow,,
2024-03-09,19:00,Premier League,Matchweek 20,Sat,Home,W,2,0,Akhmat Grozny,63,7862,Sergei Parshivlyuk,4-3-3,3-4-3,Evgeny Bulanov,Match Report,,20,9,,0,0,2023,Dynamo Moscow,,
2024-03-29,19:30,Premier League,Matchweek 22,Fri,Home,L,1,4,Rostov,55,8052,Fabián Balbuena,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,16,9,,0,0,2023,Dynamo Moscow,,
2024-04-07,19:30,Premier League,Matchweek 23,Sun,Home,L,1,2,Spartak Moscow,44,18072,Fabián Balbuena,4-3-3,4-4-2,Kirill Levnikov,Match Report,,9,4,,1,1,2023,Dynamo Moscow,,
2024-04-14,16:15 (14:15),Premier League,Matchweek 24,Sun,Away,L,1,2,Ural,56,9545,Fabián Balbuena,4-3-3,4-4-2,Vasiliy Kazartsev,Match Report,,9,2,,0,0,2023,Dynamo Moscow,,
2024-04-21,14:00,Premier League,Matchweek 25,Sun,Away,W,4,1,Nizhny Novgorod,60,9736,Fabián Balbuena,4-2-3-1,5-3-2,Artem Chistyakov,Match Report,,17,5,,0,0,2023,Dynamo Moscow,,
2024-04-24,18:00 (16:00),Premier League,Matchweek 21,Wed,Away,W,2,1,Orenburg,44,3407,Fabián Balbuena,4-2-3-1,4-3-3,Evgeny Bulanov,Match Report,,11,5,,0,0,2023,Dynamo Moscow,,
2024-04-28,19:15,Premier League,Matchweek 26,Sun,Home,W,1,0,Zenit,34,17071,Fabián Balbuena,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,11,3,,0,0,2023,Dynamo Moscow,,
2024-05-05,16:30,Premier League,Matchweek 27,Sun,Home,W,3,2,Sochi,44,8240,Fabián Balbuena,4-3-3,4-3-3,Artem Chistyakov,Match Report,,23,7,,0,0,2023,Dynamo Moscow,,
2024-05-11,20:30 (21:30),Premier League,Matchweek 28,Sat,Away,W,3,2,FC Baltika Kaliningrad,52,13478,Fabián Balbuena,4-1-4-1,3-4-3,Evgeny Bulanov,Match Report,,19,7,,0,0,2023,Dynamo Moscow,,
2024-05-18,14:00,Premier League,Matchweek 29,Sat,Home,W,4,1,Samara,42,20608,Fabián Balbuena,4-1-4-1,4-4-2,Pavel Kukuyan,Match Report,,15,10,,0,0,2023,Dynamo Moscow,,
2024-05-25,16:30,Premier League,Matchweek 30,Sat,Away,L,0,1,Krasnodar,38,34032,Fabián Balbuena,4-1-4-1,4-2-3-1,Sergey Karasev,Match Report,,12,3,,0,0,2023,Dynamo Moscow,,
2023-07-22,17:30,Premier League,Matchweek 1,Sat,Home,D,2,2,Rubin Kazan,56,6721,Dmitri Barinov,4-2-3-1,3-5-2,Vladislav Bezborodov,Match Report,,13,5,,0,0,2023,Lokomotiv Moscow,,
2023-07-30,17:30,Premier League,Matchweek 2,Sun,Away,W,4,1,Fakel Voronezh,53,13085,Dmitri Barinov,4-2-3-1,3-5-2,Vasiliy Kazartsev,Match Report,,15,5,,0,0,2023,Lokomotiv Moscow,,
2023-08-05,20:00,Premier League,Matchweek 3,Sat,Away,L,1,4,CSKA Moscow,58,12560,Dmitri Barinov,4-2-3-1,3-4-3,Kirill Levnikov,Match Report,,13,2,,0,0,2023,Lokomotiv Moscow,,
2023-08-12,15:00,Premier League,Matchweek 4,Sat,Home,D,1,1,Samara,51,6763,Dmitri Barinov,4-2-3-1,4-2-3-1,Pavel Kukuyan,Match Report,,2,1,,0,0,2023,Lokomotiv Moscow,,
2023-08-19,19:30,Premier League,Matchweek 5,Sat,Away,D,1,1,Krasnodar,40,22492,Dmitri Barinov,4-2-3-1,4-3-3,Evgeny Kukulyak,Match Report,,11,3,,0,0,2023,Lokomotiv Moscow,,
2023-08-27,20:00,Premier League,Matchweek 6,Sun,Away,W,1,0,Sochi,48,6089,Dmitri Barinov,4-2-3-1,3-4-3,Aleksey Sukhoy,Match Report,,13,9,,0,0,2023,Lokomotiv Moscow,,
2023-09-03,15:15,Premier League,Matchweek 7,Sun,Home,W,3,2,FC Baltika Kaliningrad,45,7652,Dmitri Barinov,4-2-3-1,5-3-2,Artem Lyubimov,Match Report,,12,7,,0,0,2023,Lokomotiv Moscow,,
2023-09-17,19:00,Premier League,Matchweek 8,Sun,Home,L,0,2,Orenburg,46,5957,Dmitri Barinov,4-2-3-1,4-3-3,Artur Fedorov,Match Report,,10,2,,0,0,2023,Lokomotiv Moscow,,
2023-09-24,16:30,Premier League,Matchweek 9,Sun,Away,W,2,1,Zenit,42,36283,Dmitri Barinov,4-2-3-1,5-3-2,Vladimir Moskalev,Match Report,,12,4,,0,0,2023,Lokomotiv Moscow,,
2023-09-30,14:15,Premier League,Matchweek 10,Sat,Home,W,1,0,Nizhny Novgorod,60,6059,Dmitri Barinov,4-2-3-1,5-3-2,Vladislav Bezborodov,Match Report,,12,1,,0,0,2023,Lokomotiv Moscow,,
2023-10-07,14:00 (12:00),Premier League,Matchweek 11,Sat,Away,D,2,2,Ural,60,10505,Dmitri Barinov,4-2-3-1,4-2-3-1,Sergey Karasev,Match Report,,16,5,,0,0,2023,Lokomotiv Moscow,,
2023-10-21,16:30,Premier League,Matchweek 12,Sat,Home,D,0,0,Dynamo Mosc,52,9842,Dmitri Barinov,4-2-3-1,4-2-3-1,Sergey Ivanov,Match Report,,21,8,,0,0,2023,Lokomotiv Moscow,,
2023-10-28,16:30,Premier League,Matchweek 13,Sat,Away,L,0,1,Rostov,48,11847,Dmitri Barinov,4-2-3-1,4-3-3,Aleksey Sukhoy,Match Report,,16,6,,0,0,2023,Lokomotiv Moscow,,
2023-11-05,19:30,Premier League,Matchweek 14,Sun,Home,D,1,1,Spartak Moscow,47,14523,Dmitri Barinov,4-2-3-1,4-2-3-1,Pavel Kukuyan,Match Report,,19,5,,0,0,2023,Lokomotiv Moscow,,
2023-11-11,16:30,Premier League,Matchweek 15,Sat,Home,W,2,1,Akhmat Grozny,64,5306,Artem Dzyuba,4-2-3-1,4-2-3-1,Evgeny Kukulyak,Match Report,,15,5,,0,0,2023,Lokomotiv Moscow,,
2023-11-25,14:00 (13:00),Premier League,Matchweek 16,Sat,Away,D,3,3,Samara,42,5924,Dmitri Barinov,4-2-3-1,4-2-3-1,Vasiliy Kazartsev,Match Report,,14,4,,0,0,2023,Lokomotiv Moscow,,
2023-12-03,16:30,Premier League,Matchweek 17,Sun,Home,W,3,1,Zenit,37,10060,Artem Dzyuba,4-2-3-1,5-3-2,Aleksey Sukhoy,Match Report,,9,3,,0,0,2023,Lokomotiv Moscow,,
2023-12-08,19:00,Premier League,Matchweek 18,Fri,Home,W,2,0,Ural,50,3289,Dmitri Barinov,4-2-3-1,4-2-3-1,Artem Chistyakov,Match Report,,10,5,,0,0,2023,Lokomotiv Moscow,,
2024-03-03,16:30,Premier League,Matchweek 19,Sun,Away,L,1,2,Dynamo Mosc,58,14170,Dmitri Barinov,4-2-3-1,4-3-3,Kirill Levnikov,Match Report,,7,3,,0,0,2023,Lokomotiv Moscow,,
2024-03-10,16:30,Premier League,Matchweek 20,Sun,Home,D,2,2,Sochi,50,6024,Dmitri Barinov,4-2-3-1,4-3-3,Sergei Cheban,Match Report,,15,6,,0,0,2023,Lokomotiv Moscow,,
2024-03-31,19:30,Premier League,Matchweek 22,Sun,Home,D,1,1,Krasnodar,53,9327,Dmitri Barinov,4-2-3-1,5-3-2,Vladislav Bezborodov,Match Report,,10,2,,0,0,2023,Lokomotiv Moscow,,
2024-04-07,16:30,Premier League,Matchweek 23,Sun,Away,W,2,0,Akhmat Grozny,67,3836,Dmitri Barinov,4-2-3-1,3-4-3,Vasiliy Kazartsev,Match Report,,20,8,,1,1,2023,Lokomotiv Moscow,,
2024-04-13,19:30,Premier League,Matchweek 24,Sat,Home,D,3,3,CSKA Moscow,55,15070,Dmitri Barinov,4-2-3-1,3-4-3,Sergey Karasev,Match Report,,16,5,,0,0,2023,Lokomotiv Moscow,,
2024-04-20,14:00,Premier League,Matchweek 25,Sat,Away,D,1,1,Rubin Kazan,60,9272,Dmitri Barinov,4-2-3-1,3-4-3,Evgeny Kukulyak,Match Report,,12,4,,0,0,2023,Lokomotiv Moscow,,
2024-04-24,18:15,Premier League,Matchweek 21,Wed,Away,W,3,2,Nizhny Novgorod,77,6591,Dmitri Barinov,4-2-3-1,5-3-2,Sergey Cyganok,Match Report,,21,8,,1,1,2023,Lokomotiv Moscow,,
2024-04-28,16:15,Premier League,Matchweek 26,Sun,Away,L,2,3,Spartak Moscow,50,20016,Anton Miranchuk,4-2-3-1,4-2-3-1,Kirill Levnikov,Match Report,,18,8,,0,0,2023,Lokomotiv Moscow,,
2024-05-06,20:30,Premier League,Matchweek 27,Mon,Home,W,1,0,Rostov,39,6611,Gerzino Nyamsi,4-3-3,4-3-3,Pavel Kukuyan,Match Report,,8,4,,0,0,2023,Lokomotiv Moscow,,
2024-05-12,16:00 (14:00),Premier League,Matchweek 28,Sun,Away,W,2,0,Orenburg,42,5388,Dmitri Barinov,4-3-3,4-3-3,Yan Bobrovskiy,Match Report,,19,5,,0,0,2023,Lokomotiv Moscow,,
2024-05-18,16:30,Premier League,Matchweek 29,Sat,Home,W,2,0,Fakel Voronezh,49,11639,Dmitri Barinov,4-4-2,3-4-3,Vitaly Meshkov,Match Report,,16,8,,0,0,2023,Lokomotiv Moscow,,
2024-05-25,15:30 (16:30),Premier League,Matchweek 30,Sat,Away,W,3,1,FC Baltika Kaliningrad,48,16054,Dmitri Barinov,4-2-3-1,3-4-3,Vladislav Bezborodov,Match Report,,12,8,,0,0,2023,Lokomotiv Moscow,,
2023-07-23,17:30,Premier League,Matchweek 1,Sun,Home,W,3,2,Orenburg,50.0,11466,Roman Zobnin,4-1-4-1,4-3-3,Artem Chistyakov,Match Report,,23,7,,0,0,2023,Spartak Moscow,,
2023-07-31,19:30,Premier League,Matchweek 2,Mon,Home,W,2,1,FC Baltika Kaliningrad,57.0,10992,Roman Zobnin,4-1-4-1,5-3-2,Pavel Kukuyan,Match Report,,17,5,,0,0,2023,Spartak Moscow,,
2023-08-05,17:30,Premier League,Matchweek 3,Sat,Away,W,4,1,Rubin Kazan,58.0,17806,Georgi Dzhikiya,4-1-4-1,3-5-2,Evgeny Kukulyak,Match Report,,14,8,,0,0,2023,Spartak Moscow,,
